request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_45,8823254.88,affordable_with_plan,installments,2026-07-06:1392256.67|2026-08-06:1392256.67|2026-09-06:1392256.67|2026-10-07:1392256.67|2026-11-07:1392256.67|2026-12-08:1392256.67|2027-01-08:1392256.67|2027-02-08:1392256.67|2027-03-11:1392256.67|2027-04-11:1392256.67|2027-05-12:1392256.67|2027-06-12:1392256.67|2027-07-13:1392256.67|2027-08-13:1392256.67|2027-09-13:1392256.67|2027-10-14:1392256.67|2027-11-14:1392256.67|2027-12-15:1392256.67,,none,"Use 18 installments of IDR 1392256.67, starting today. This leaves at least IDR 15806129.99 available."
request_46,49401.71,affordable_with_plan,partial_payment,2024-12-03:49401.71|2024-12-03:48.29,2024-12-03,none,"Pay INR 49401.71 today, and the rest later. This protects the INR 84000.00 minimum."
request_47,38076779.3,affordable_with_plan,installments,2025-05-12:2795026.67|2025-06-11:2795026.67|2025-07-11:2795026.67|2025-08-10:2795026.67|2025-09-09:2795026.67|2025-10-09:2795026.67|2025-11-08:2795026.67|2025-12-08:2795026.67|2026-01-07:2795026.67|2026-02-06:2795026.67|2026-03-08:2795026.67|2026-04-07:2795026.67|2026-05-07:2795026.67|2026-06-06:2795026.67|2026-07-06:2795026.67,2025-05-05,none,"Use 15 installments of IDR 2795026.67, starting 05 May 2025. This leaves at least IDR 104539069.99 available."
request_48,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the INR 71300.00 minimum protected.
request_49,20217577.15,affordable_with_plan,installments,2024-03-04:1929187.62|2024-04-01:1929187.62|2024-04-29:1929187.62|2024-05-27:1929187.62|2024-06-24:1929187.62|2024-07-22:1929187.62|2024-08-19:1929187.62|2024-09-16:1929187.62|2024-10-14:1929187.62|2024-11-11:1929187.62|2024-12-09:1929187.62|2025-01-06:1929187.62|2025-02-03:1929187.62|2025-03-03:1929187.62|2025-03-31:1929187.62|2025-04-28:1929187.62|2025-05-26:1929187.62|2025-06-23:1929187.62|2025-07-21:1929187.62|2025-08-18:1929187.62|2025-09-15:1929187.62,,none,"Use 21 installments of IDR 1929187.62, starting today. This leaves at least IDR 32787742.86 available."
request_50,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the INR 99700.00 minimum protected.
request_51,2188860.35,affordable_with_plan,partial_payment,2026-01-03:2188860.35|2026-01-03:2139.65,2026-01-03,none,"Pay IDR 2188860.35 today, and the rest later. This protects the IDR 7811000.00 minimum."
request_52,28841.81,affordable_with_plan,installments,2024-06-19:1422.88|2024-07-17:1422.88|2024-08-14:1422.88|2024-09-11:1422.88|2024-10-09:1422.88|2024-11-06:1422.88|2024-12-04:1422.88|2025-01-01:1422.88|2025-01-29:1422.88|2025-02-26:1422.88|2025-03-26:1422.88|2025-04-23:1422.88|2025-05-21:1422.88|2025-06-18:1422.88|2025-07-16:1422.88|2025-08-13:1422.88|2025-09-10:1422.88|2025-10-08:1422.88|2025-11-05:1422.88|2025-12-03:1422.88|2025-12-31:1422.88,2024-06-05,none,"Use 21 installments of INR 1422.88, starting 05 June 2024. This leaves at least INR 71051.36 available."
request_53,1422.08,affordable_with_plan,installments,2025-11-07:124.61|2025-12-07:124.61|2026-01-06:124.61|2026-02-05:124.61|2026-03-07:124.61|2026-04-06:124.61|2026-05-06:124.61|2026-06-05:124.61|2026-07-05:124.61|2026-08-04:124.61|2026-09-03:124.61|2026-10-03:124.61|2026-11-02:124.61|2026-12-02:124.61|2027-01-01:124.61,,none,"Use 15 installments of USD 124.61, starting today. This leaves at least USD 3024.98 available."
request_54,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the ZAR 37000.00 minimum protected.
request_55,176118.16,affordable_with_plan,installments,2026-06-15:12283.24|2026-07-13:12283.24|2026-08-10:12283.24|2026-09-07:12283.24|2026-10-05:12283.24|2026-11-02:12283.24|2026-11-30:12283.24|2026-12-28:12283.24|2027-01-25:12283.24|2027-02-22:12283.24|2027-03-22:12283.24|2027-04-19:12283.24|2027-05-17:12283.24|2027-06-14:12283.24|2027-07-12:12283.24|2027-08-09:12283.24|2027-09-06:12283.24|2027-10-04:12283.24|2027-11-01:12283.24|2027-11-29:12283.24|2027-12-27:12283.24,,none,"Use 21 installments of INR 12283.24, starting today. This leaves at least INR 263691.47 available."
request_56,880.7,affordable_with_plan,partial_payment,2025-02-03:880.70|2025-02-03:0.86,2025-02-03,none,"Pay USD 880.70 today, and the rest later. This protects the USD 2100.00 minimum."
request_57,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the ZAR 42700.00 minimum protected.
request_58,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the IDR 14433900.00 minimum protected.
request_59,140462.7,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48741.33, starting 04 May 2025. This leaves at least INR 577022.00 available."
request_60,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the USD 400.00 minimum protected.
request_61,29033.62,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10074.83, starting 03 March 2024. This leaves at least ZAR 114955.54 available."
request_62,403.84,affordable_with_plan,partial_payment,2025-08-05:403.84|2025-08-05:0.39,2025-08-05,none,"Pay USD 403.84 today, and the rest later. This protects the USD 1300.00 minimum."
request_63,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the INR 153500.00 minimum protected.
request_64,60216.41,affordable_with_plan,installments,2024-06-18:3579.33|2024-07-16:3579.33|2024-08-13:3579.33|2024-09-10:3579.33|2024-10-08:3579.33|2024-11-05:3579.33|2024-12-03:3579.33|2024-12-31:3579.33|2025-01-28:3579.33|2025-02-25:3579.33|2025-03-25:3579.33|2025-04-22:3579.33|2025-05-20:3579.33|2025-06-17:3579.33|2025-07-15:3579.33|2025-08-12:3579.33|2025-09-09:3579.33|2025-10-07:3579.33|2025-11-04:3579.33|2025-12-02:3579.33|2025-12-30:3579.33,,none,"Use 21 installments of INR 3579.33, starting today. This leaves at least INR 85595.02 available."
request_65,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the ZAR 15500.00 minimum protected.
request_66,22178.32,affordable_with_plan,partial_payment,2026-04-03:22178.32|2026-04-03:21.68,2026-04-03,none,"Pay INR 22178.32 today, and the rest later. This protects the INR 80700.00 minimum."
request_67,791.38,affordable_with_plan,installments,2024-09-12:117.66|2024-10-10:117.66|2024-11-07:117.66|2024-12-05:117.66|2025-01-02:117.66|2025-01-30:117.66|2025-02-27:117.66|2025-03-27:117.66|2025-04-24:117.66|2025-05-22:117.66|2025-06-19:117.66|2025-07-17:117.66|2025-08-14:117.66|2025-09-11:117.66|2025-10-09:117.66|2025-11-06:117.66|2025-12-04:117.66|2026-01-01:117.66|2026-01-29:117.66|2026-02-26:117.66|2026-03-26:117.66,,none,"Use 21 installments of USD 117.66, starting today. This leaves at least USD 1639.56 available."
request_68,2089.56,affordable_with_plan,installments,2025-02-21:153.38|2025-03-23:153.38|2025-04-22:153.38|2025-05-22:153.38|2025-06-21:153.38|2025-07-21:153.38|2025-08-20:153.38|2025-09-19:153.38|2025-10-19:153.38|2025-11-18:153.38|2025-12-18:153.38|2026-01-17:153.38|2026-02-16:153.38|2026-03-18:153.38|2026-04-17:153.38,2025-02-07,none,"Use 15 installments of USD 153.38, starting 07 February 2025. This leaves at least USD 3197.69 available."
request_69,528.58,affordable_with_plan,installments,2026-01-04:33.51|2026-02-04:33.51|2026-03-07:33.51|2026-04-07:33.51|2026-05-08:33.51|2026-06-08:33.51|2026-07-09:33.51|2026-08-09:33.51|2026-09-09:33.51|2026-10-10:33.51|2026-11-10:33.51|2026-12-11:33.51|2027-01-11:33.51|2027-02-11:33.51|2027-03-14:33.51|2027-04-14:33.51|2027-05-15:33.51|2027-06-15:33.51,2026-01-04,none,"Use 18 installments of EUR 33.51, starting 04 January 2026. This leaves at least EUR 1538.97 available."
request_70,93129.79,affordable_with_plan,installments,2024-12-09:13704.86|2025-01-06:13704.86|2025-02-03:13704.86|2025-03-03:13704.86|2025-03-31:13704.86|2025-04-28:13704.86|2025-05-26:13704.86|2025-06-23:13704.86|2025-07-21:13704.86|2025-08-18:13704.86|2025-09-15:13704.86|2025-10-13:13704.86|2025-11-10:13704.86|2025-12-08:13704.86|2026-01-05:13704.86|2026-02-02:13704.86|2026-03-02:13704.86|2026-03-30:13704.86|2026-04-27:13704.86|2026-05-25:13704.86|2026-06-22:13704.86,,none,"Use 21 installments of INR 13704.86, starting today. This leaves at least INR 153540.56 available."
request_71,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the IDR 8884800.00 minimum protected.
request_72,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the ZAR 12200.00 minimum protected.
request_73,71330.27,affordable_with_plan,installments,2023-01-20:4012.00|2023-02-17:4012.00|2023-03-17:4012.00|2023-04-14:4012.00|2023-05-12:4012.00|2023-06-09:4012.00|2023-07-07:4012.00|2023-08-04:4012.00|2023-09-01:4012.00|2023-09-29:4012.00|2023-10-27:4012.00|2023-11-24:4012.00|2023-12-22:4012.00|2024-01-19:4012.00|2024-02-16:4012.00|2024-03-15:4012.00|2024-04-12:4012.00|2024-05-10:4012.00|2024-06-07:4012.00|2024-07-05:4012.00|2024-08-02:4012.00,2023-01-20,none,"Use 21 installments of INR 4012.00, starting 20 January 2023. This leaves at least INR 262494.50 available."
request_74,5005.11,affordable_with_plan,partial_payment,2025-08-04:5005.11|2025-08-04:4.89,2025-08-04,none,"Pay ZAR 5005.11 today, and the rest later. This protects the ZAR 21900.00 minimum."
request_75,28242.39,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9800.27, starting 06 April 2026. This leaves at least ZAR 116467.06 available."
request_76,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the USD 1800.00 minimum protected.
request_77,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the INR 82200.00 minimum protected.
request_78,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the INR 55200.00 minimum protected.
request_79,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the EUR 1000.00 minimum protected.
request_80,152080.08,affordable_with_plan,installments,2025-02-20:15950.00|2025-03-22:15950.00|2025-04-21:15950.00|2025-05-21:15950.00|2025-06-20:15950.00|2025-07-20:15950.00|2025-08-19:15950.00|2025-09-18:15950.00|2025-10-18:15950.00|2025-11-17:15950.00|2025-12-17:15950.00|2026-01-16:15950.00|2026-02-15:15950.00|2026-03-17:15950.00|2026-04-16:15950.00,,none,"Use 15 installments of INR 15950.00, starting today. This leaves at least INR 225565.00 available."
request_81,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the USD 1600.00 minimum protected.
request_82,1011.36,affordable_with_plan,installments,2024-12-08:78.96|2025-01-05:78.96|2025-02-02:78.96|2025-03-02:78.96|2025-03-30:78.96|2025-04-27:78.96|2025-05-25:78.96|2025-06-22:78.96|2025-07-20:78.96|2025-08-17:78.96|2025-09-14:78.96|2025-10-12:78.96|2025-11-09:78.96|2025-12-07:78.96|2026-01-04:78.96|2026-02-01:78.96|2026-03-01:78.96|2026-03-29:78.96|2026-04-26:78.96|2026-05-24:78.96|2026-06-21:78.96,,none,"Use 21 installments of USD 78.96, starting today. This leaves at least USD 1795.56 available."
request_83,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the INR 37800.00 minimum protected.
request_84,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the INR 91300.00 minimum protected.
request_85,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the IDR 6396300.00 minimum protected.
request_86,46254.79,affordable_with_plan,installments,2025-08-06:3395.33|2025-09-05:3395.33|2025-10-05:3395.33|2025-11-04:3395.33|2025-12-04:3395.33|2026-01-03:3395.33|2026-02-02:3395.33|2026-03-04:3395.33|2026-04-03:3395.33|2026-05-03:3395.33|2026-06-02:3395.33|2026-07-02:3395.33|2026-08-01:3395.33|2026-08-31:3395.33|2026-09-30:3395.33,2025-08-03,none,"Use 15 installments of INR 3395.33, starting 03 August 2025. This leaves at least INR 218453.51 available."
request_87,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the INR 185900.00 minimum protected.
request_88,15543.09,affordable_with_plan,installments,2024-06-21:1466.12|2024-07-19:1466.12|2024-08-16:1466.12|2024-09-13:1466.12|2024-10-11:1466.12|2024-11-08:1466.12|2024-12-06:1466.12|2025-01-03:1466.12|2025-01-31:1466.12|2025-02-28:1466.12|2025-03-28:1466.12|2025-04-25:1466.12|2025-05-23:1466.12|2025-06-20:1466.12|2025-07-18:1466.12|2025-08-15:1466.12|2025-09-12:1466.12|2025-10-10:1466.12|2025-11-07:1466.12|2025-12-05:1466.12|2026-01-02:1466.12,,none,"Use 21 installments of ZAR 1466.12, starting today. This leaves at least ZAR 36959.53 available."
request_89,13742566.41,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-04,none,"Use 3 installments of IDR 4768746.67, starting 04 November 2025. This leaves at least IDR 13025622.00 available."
request_90,2557.5,affordable_with_plan,partial_payment,2026-07-06:2557.50|2026-07-06:2.50,2026-07-06,none,"Pay ZAR 2557.50 today, and the rest later. This protects the ZAR 7600.00 minimum."
request_91,1925.32,affordable_with_plan,installments,2024-09-10:108.29|2024-10-08:108.29|2024-11-05:108.29|2024-12-03:108.29|2024-12-31:108.29|2025-01-28:108.29|2025-02-25:108.29|2025-03-25:108.29|2025-04-22:108.29|2025-05-20:108.29|2025-06-17:108.29|2025-07-15:108.29|2025-08-12:108.29|2025-09-09:108.29|2025-10-07:108.29|2025-11-04:108.29|2025-12-02:108.29|2025-12-30:108.29|2026-01-27:108.29|2026-02-24:108.29|2026-03-24:108.29,2024-09-03,none,"Use 21 installments of EUR 108.29, starting 03 September 2024. This leaves at least EUR 3718.73 available."
request_92,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the ZAR 28100.00 minimum protected.
request_93,1727.51,affordable_with_plan,installments,2026-04-07:109.52|2026-05-08:109.52|2026-06-08:109.52|2026-07-09:109.52|2026-08-09:109.52|2026-09-09:109.52|2026-10-10:109.52|2026-11-10:109.52|2026-12-11:109.52|2027-01-11:109.52|2027-02-11:109.52|2027-03-14:109.52|2027-04-14:109.52|2027-05-15:109.52|2027-06-15:109.52|2027-07-16:109.52|2027-08-16:109.52|2027-09-16:109.52,2026-04-07,none,"Use 18 installments of USD 109.52, starting 07 April 2026. This leaves at least USD 3633.54 available."
request_94,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the EUR 600.00 minimum protected.
request_95,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the INR 145500.00 minimum protected.
request_96,90111.91,affordable_with_plan,installments,2026-01-17:5712.67|2026-02-17:5712.67|2026-03-20:5712.67|2026-04-20:5712.67|2026-05-21:5712.67|2026-06-21:5712.67|2026-07-22:5712.67|2026-08-22:5712.67|2026-09-22:5712.67|2026-10-23:5712.67|2026-11-23:5712.67|2026-12-24:5712.67|2027-01-24:5712.67|2027-02-24:5712.67|2027-03-27:5712.67|2027-04-27:5712.67|2027-05-28:5712.67|2027-06-28:5712.67,2026-01-03,none,"Use 18 installments of INR 5712.67, starting 03 January 2026. This leaves at least INR 144497.48 available."
request_97,8856.89,affordable_with_plan,installments,2024-03-05:1320.25|2024-04-02:1320.25|2024-04-30:1320.25|2024-05-28:1320.25|2024-06-25:1320.25|2024-07-23:1320.25|2024-08-20:1320.25|2024-09-17:1320.25|2024-10-15:1320.25|2024-11-12:1320.25|2024-12-10:1320.25|2025-01-07:1320.25|2025-02-04:1320.25|2025-03-04:1320.25|2025-04-01:1320.25|2025-04-29:1320.25|2025-05-27:1320.25|2025-06-24:1320.25|2025-07-22:1320.25|2025-08-19:1320.25|2025-09-16:1320.25,,none,"Use 21 installments of ZAR 1320.25, starting today. This leaves at least ZAR 33284.89 available."
request_98,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the ZAR 30000.00 minimum protected.
request_99,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the ZAR 49100.00 minimum protected.
request_100,34830.62,affordable_with_plan,installments,2024-06-20:2085.45|2024-07-18:2085.45|2024-08-15:2085.45|2024-09-12:2085.45|2024-10-10:2085.45|2024-11-07:2085.45|2024-12-05:2085.45|2025-01-02:2085.45|2025-01-30:2085.45|2025-02-27:2085.45|2025-03-27:2085.45|2025-04-24:2085.45|2025-05-22:2085.45|2025-06-19:2085.45|2025-07-17:2085.45|2025-08-14:2085.45|2025-09-11:2085.45|2025-10-09:2085.45|2025-11-06:2085.45|2025-12-04:2085.45|2026-01-01:2085.45,,none,"Use 21 installments of ZAR 2085.45, starting today. This leaves at least ZAR 61079.78 available."
request_101,143359.86,affordable_with_plan,installments,2025-11-03:10523.33|2025-12-03:10523.33|2026-01-02:10523.33|2026-02-01:10523.33|2026-03-03:10523.33|2026-04-02:10523.33|2026-05-02:10523.33|2026-06-01:10523.33|2026-07-01:10523.33|2026-07-31:10523.33|2026-08-30:10523.33|2026-09-29:10523.33|2026-10-29:10523.33|2026-11-28:10523.33|2026-12-28:10523.33,2025-11-03,none,"Use 15 installments of INR 10523.33, starting 03 November 2025. This leaves at least INR 408115.18 available."
request_102,1714.32,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 05 April 2026. This leaves at least EUR 2773.10 available."
request_103,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the INR 125500.00 minimum protected.
request_104,17187.2,affordable_with_plan,installments,2025-02-18:1261.63|2025-03-20:1261.63|2025-04-19:1261.63|2025-05-19:1261.63|2025-06-18:1261.63|2025-07-18:1261.63|2025-08-17:1261.63|2025-09-16:1261.63|2025-10-16:1261.63|2025-11-15:1261.63|2025-12-15:1261.63|2026-01-14:1261.63|2026-02-13:1261.63|2026-03-15:1261.63|2026-04-14:1261.63,2025-02-04,none,"Use 15 installments of ZAR 1261.63, starting 04 February 2025. This leaves at least ZAR 58272.21 available."
request_105,53447.75,affordable_with_plan,installments,2026-06-08:3388.33|2026-07-09:3388.33|2026-08-09:3388.33|2026-09-09:3388.33|2026-10-10:3388.33|2026-11-10:3388.33|2026-12-11:3388.33|2027-01-11:3388.33|2027-02-11:3388.33|2027-03-14:3388.33|2027-04-14:3388.33|2027-05-15:3388.33|2027-06-15:3388.33|2027-07-16:3388.33|2027-08-16:3388.33|2027-09-16:3388.33|2027-10-17:3388.33|2027-11-17:3388.33,2026-06-08,none,"Use 18 installments of INR 3388.33, starting 08 June 2026. This leaves at least INR 137666.81 available."
request_106,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the EUR 1200.00 minimum protected.
request_107,2531.93,affordable_with_plan,installments,2025-05-12:185.86|2025-06-11:185.86|2025-07-11:185.86|2025-08-10:185.86|2025-09-09:185.86|2025-10-09:185.86|2025-11-08:185.86|2025-12-08:185.86|2026-01-07:185.86|2026-02-06:185.86|2026-03-08:185.86|2026-04-07:185.86|2026-05-07:185.86|2026-06-06:185.86|2026-07-06:185.86,2025-05-05,none,"Use 15 installments of EUR 185.86, starting 05 May 2025. This leaves at least EUR 4496.94 available."
request_108,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the ZAR 24100.00 minimum protected.
request_109,1275.63,affordable_with_plan,installments,2024-03-04:104.71|2024-04-01:104.71|2024-04-29:104.71|2024-05-27:104.71|2024-06-24:104.71|2024-07-22:104.71|2024-08-19:104.71|2024-09-16:104.71|2024-10-14:104.71|2024-11-11:104.71|2024-12-09:104.71|2025-01-06:104.71|2025-02-03:104.71|2025-03-03:104.71|2025-03-31:104.71|2025-04-28:104.71|2025-05-26:104.71|2025-06-23:104.71|2025-07-21:104.71|2025-08-18:104.71|2025-09-15:104.71,,none,"Use 21 installments of EUR 104.71, starting today. This leaves at least EUR 2557.62 available."
request_110,22330.17,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7748.69, starting 06 August 2025. This leaves at least ZAR 37983.46 available."
request_111,16608764.65,affordable_with_plan,installments,2026-04-10:1052916.67|2026-05-11:1052916.67|2026-06-11:1052916.67|2026-07-12:1052916.67|2026-08-12:1052916.67|2026-09-12:1052916.67|2026-10-13:1052916.67|2026-11-13:1052916.67|2026-12-14:1052916.67|2027-01-14:1052916.67|2027-02-14:1052916.67|2027-03-17:1052916.67|2027-04-17:1052916.67|2027-05-18:1052916.67|2027-06-18:1052916.67|2027-07-19:1052916.67|2027-08-19:1052916.67|2027-09-19:1052916.67,2026-04-03,none,"Use 18 installments of IDR 1052916.67, starting 03 April 2026. This leaves at least IDR 82046109.99 available."
request_112,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the EUR 500.00 minimum protected.
request_113,36464.36,affordable_with_plan,installments,2026-09-04:2518.50|2026-10-04:2518.50|2026-11-03:2518.50|2026-12-03:2518.50|2027-01-02:2518.50|2027-02-01:2518.50|2027-03-03:2518.50|2027-04-02:2518.50|2027-05-02:2518.50|2027-06-01:2518.50|2027-07-01:2518.50|2027-07-31:2518.50|2027-08-30:2518.50|2027-09-29:2518.50|2027-10-29:2518.50,2026-09-04,none,"Use 15 installments of INR 2518.50, starting 04 September 2026. This leaves at least INR 131816.00 available."
request_114,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the INR 113400.00 minimum protected.
request_115,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the INR 38800.00 minimum protected.
request_116,57944.53,affordable_with_plan,installments,2025-02-17:17688.00|2025-03-19:17688.00|2025-04-18:17688.00|2025-05-18:17688.00|2025-06-17:17688.00|2025-07-17:17688.00|2025-08-16:17688.00|2025-09-15:17688.00|2025-10-15:17688.00|2025-11-14:17688.00|2025-12-14:17688.00|2026-01-13:17688.00|2026-02-12:17688.00|2026-03-14:17688.00|2026-04-13:17688.00,,none,"Use 15 installments of INR 17688.00, starting today. This leaves at least INR 85311.00 available."
request_117,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the EUR 1000.00 minimum protected.
